Package                                     Current    Wanted   Latest  Location                                                                     Depended by                                                        Package Type     Homepage                                                                                                               Depended By Location
@fastify/cors                                 8.5.0     8.5.0   11.1.0  node_modules/@fastify/cors                                                   adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            dependencies     https://github.com/fastify/fastify-cors#readme                                                                         services/adaptive-engine
@fastify/cors                                 8.5.0     8.5.0   11.1.0  node_modules/@fastify/cors                                                   gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/fastify/fastify-cors#readme                                                                         apps/gateway-bff
@fastify/swagger                             8.15.0    8.15.0    9.5.2  node_modules/@fastify/swagger                                                adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            dependencies     https://github.com/fastify/fastify-swagger#readme                                                                      services/adaptive-engine
@fastify/swagger                             8.15.0    8.15.0    9.5.2  node_modules/@fastify/swagger                                                gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/fastify/fastify-swagger#readme                                                                      apps/gateway-bff
@fastify/swagger                             8.15.0    8.15.0    9.5.2  node_modules/@fastify/swagger                                                planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/fastify/fastify-swagger#readme                                                                      services/planning-engine
@fastify/swagger-ui                           2.1.0     2.1.0    5.2.3  node_modules/@fastify/swagger-ui                                             adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            dependencies     https://github.com/fastify/fastify-swagger-ui#readme                                                                   services/adaptive-engine
@fastify/swagger-ui                           2.1.0     2.1.0    5.2.3  node_modules/@fastify/swagger-ui                                             gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/fastify/fastify-swagger-ui#readme                                                                   apps/gateway-bff
@fastify/swagger-ui                           2.1.0     2.1.0    5.2.3  node_modules/@fastify/swagger-ui                                             planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/fastify/fastify-swagger-ui#readme                                                                   services/planning-engine
@jest/globals                                29.7.0    29.7.0   30.1.2  node_modules/@jest/globals                                                   contracts@npm:@athlete-ally/contracts@0.1.0                        devDependencies                                                                                                                         packages/contracts
@opentelemetry/auto-instrumentations-node    0.40.3    0.40.3   0.64.1  node_modules/@opentelemetry/auto-instrumentations-node                       gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/auto-instrumentations-node#readme        apps/gateway-bff
@opentelemetry/auto-instrumentations-node    0.40.3    0.40.3   0.64.1  node_modules/@opentelemetry/auto-instrumentations-node                       otel-preset@npm:@athlete-ally/otel-preset@1.0.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/auto-instrumentations-node#readme        packages/otel-preset
@opentelemetry/auto-instrumentations-node    0.40.3    0.40.3   0.64.1  node_modules/@opentelemetry/auto-instrumentations-node                       planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/auto-instrumentations-node#readme        services/planning-engine
@opentelemetry/auto-instrumentations-node    0.40.3    0.40.3   0.64.1  node_modules/@opentelemetry/auto-instrumentations-node                       profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://github.com/open-telemetry/opentelemetry-js-contrib/tree/main/packages/auto-instrumentations-node#readme        services/profile-onboarding
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    services/exercises
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    services/fatigue
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    apps/gateway-bff
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  planning-engine@npm:@athlete-ally/planning-engine@0.1.0            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    services/planning-engine
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  profile-onboarding@npm:@athlete-ally/profile-onboarding@0.1.0      dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    services/profile-onboarding
@opentelemetry/exporter-jaeger               1.30.1    1.30.1    2.1.0  node_modules/@opentelemetry/exporter-jaeger                                  workouts@npm:@athlete-ally/workouts@1.0.0                          dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/packages/opentelemetry-exporter-jaeger                    services/workouts
@opentelemetry/exporter-prometheus           0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/exporter-prometheus                              exercises@npm:@athlete-ally/exercises@1.0.0                        dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-exporter-prometheus   services/exercises
@opentelemetry/exporter-prometheus           0.45.1    0.45.1  0.205.0  node_modules/@opentelemetry/exporter-prometheus                              fatigue@npm:@athlete-ally/fatigue@1.0.0                            dependencies     https://github.com/open-telemetry/opentelemetry-js/tree/main/experimental/packages/opentelemetry-exporter-prometheus   services/fatigue
